filename,phase,screen_title,confidence
Screenshot 2026-04-21 at 3.07.27 PM.png,Phase-2_Sales-Intelligence,Equipment Listing,high
Screenshot 2026-04-21 at 3.07.32 PM.png,Phase-2_Sales-Intelligence,Equipment Listing,high
Screenshot 2026-04-21 at 3.07.36 PM.png,Phase-2_Sales-Intelligence,Equipment Listing,high
Screenshot 2026-04-21 at 3.07.40 PM.png,Phase-2_Sales-Intelligence,Equipment Listing,high
Screenshot 2026-04-21 at 3.07.45 PM.png,Phase-2_Sales-Intelligence,Equipment Listing,high
Screenshot 2026-04-21 at 3.08.04 PM.png,Phase-4_Service,Work Orders,high
Screenshot 2026-04-21 at 3.08.13 PM.png,Phase-4_Service,Work Orders,high
Screenshot 2026-04-21 at 3.08.50 PM.png,Phase-1_CRM,Prospect Board,high
Screenshot 2026-04-21 at 3.09.09 PM.png,Phase-4_Service,Work Orders Listing,high
Screenshot 2026-04-21 at 3.09.15 PM.png,Phase-4_Service,Work Order Quoting,high
Screenshot 2026-04-21 at 3.09.23 PM.png,Phase-4_Service,Work Order Quoting,high
Screenshot 2026-04-21 at 3.09.31 PM.png,Phase-4_Service,Work Order Quoting,high
Screenshot 2026-04-21 at 3.09.39 PM.png,Phase-4_Service,Work Order Quoting,high
Screenshot 2026-04-21 at 3.10.01 PM.png,Phase-2_Sales-Intelligence,Equipment Quoting,high
Screenshot 2026-04-21 at 3.10.34 PM.png,Phase-2_Sales-Intelligence,Equipment Invoicing (Trade Ins),high
Screenshot 2026-04-21 at 3.10.40 PM.png,Phase-2_Sales-Intelligence,Equipment Invoicing (Trade Ins),high
Screenshot 2026-04-21 at 3.10.45 PM.png,Phase-2_Sales-Intelligence,Equipment Invoicing,high
Screenshot 2026-04-21 at 3.10.49 PM.png,Phase-2_Sales-Intelligence,Equipment Invoicing,high
Screenshot 2026-04-21 at 3.10.53 PM.png,Phase-2_Sales-Intelligence,Equipment Invoicing,high
Screenshot 2026-04-21 at 3.10.57 PM.png,Phase-2_Sales-Intelligence,Equipment Invoicing,high
Screenshot 2026-04-21 at 3.11.01 PM.png,Phase-2_Sales-Intelligence,Equipment Invoicing,high
Screenshot 2026-04-21 at 3.11.04 PM.png,Phase-2_Sales-Intelligence,Equipment Invoicing,high
Screenshot 2026-04-21 at 3.11.08 PM.png,Phase-2_Sales-Intelligence,Equipment Invoicing,high
Screenshot 2026-04-21 at 3.11.28 PM.png,Phase-3_Parts,Purchase Orders (Parts),high
Screenshot 2026-04-21 at 3.11.45 PM.png,Phase-3_Parts,Parts Invoicing,high
Screenshot 2026-04-21 at 3.11.50 PM.png,Phase-3_Parts,Parts Invoicing,high
Screenshot 2026-04-21 at 3.11.55 PM.png,Phase-3_Parts,Parts Invoicing,high
Screenshot 2026-04-21 at 3.12.03 PM.png,Phase-3_Parts,Parts Invoicing,high
Screenshot 2026-04-21 at 3.12.31 PM.png,Phase-3_Parts,Parts Invoicing,high
Screenshot 2026-04-21 at 3.13.11 PM.png,Phase-2_Sales-Intelligence,Equipment Quoting,high
Screenshot 2026-04-21 at 3.13.30 PM.png,Phase-2_Sales-Intelligence,Sales Support Portal,high
Screenshot 2026-04-21 at 3.13.40 PM.png,Phase-3_Parts,Purchase Orders,high
Screenshot 2026-04-21 at 3.13.45 PM.png,Phase-3_Parts,Purchase Orders,high
Screenshot 2026-04-21 at 3.13.49 PM.png,Phase-3_Parts,Purchase Orders,high
Screenshot 2026-04-21 at 3.13.53 PM.png,Phase-3_Parts,Parts Quoting (Service),high
Screenshot 2026-04-21 at 3.13.57 PM.png,Phase-3_Parts,Parts Quoting (Service),high
Screenshot 2026-04-21 at 3.14.01 PM.png,Phase-3_Parts,Parts Quoting (Service),high
Screenshot 2026-04-21 at 3.14.05 PM.png,Phase-3_Parts,Parts Quoting (Service),high
Screenshot 2026-04-21 at 3.14.20 PM.png,Phase-4_Service,ID InspectionPlus,high
Screenshot 2026-04-21 at 3.14.28 PM.png,Phase-Cross-Cutting,Traffic Management,high
Screenshot 2026-04-21 at 3.14.35 PM.png,Phase-Cross-Cutting,Traffic Management,high
Screenshot 2026-04-21 at 3.14.46 PM.png,Phase-1_CRM,Prospect Board,high
Screenshot 2026-04-21 at 3.14.53 PM.png,Phase-4_Service,Work Orders,high
Screenshot 2026-04-21 at 3.15.23 PM.png,Phase-4_Service,Work Order Quoting,high
Screenshot 2026-04-21 at 3.15.27 PM.png,Phase-Cross-Cutting,Traffic Management (Weekly),high
Screenshot 2026-04-21 at 3.15.32 PM.png,Phase-Cross-Cutting,Traffic Management (Monthly),high
Screenshot 2026-04-21 at 3.15.41 PM.png,Phase-1_CRM,Prospect Board,high
Screenshot 2026-04-21 at 3.15.59 PM.png,Phase-4_Service,Work Orders Listing,high
Screenshot 2026-04-21 at 3.16.08 PM.png,Phase-4_Service,Work Order Detail,high
Screenshot 2026-04-21 at 3.16.14 PM.png,Phase-4_Service,Work Order Detail (Labor/Parts Tabs),high
Screenshot 2026-04-21 at 3.16.46 PM.png,Phase-4_Service,Work Order (Service Parts),high
Screenshot 2026-04-21 at 3.17.13 PM.png,Phase-4_Service,Job Codes,high
Screenshot 2026-04-21 at 3.17.21 PM.png,Phase-4_Service,Labor Pricing,high
Screenshot 2026-04-21 at 3.17.29 PM.png,Phase-4_Service,Labor Pricing,high
Screenshot 2026-04-21 at 3.17.35 PM.png,Phase-4_Service,Labor Pricing Detail,high
Screenshot 2026-04-21 at 3.17.40 PM.png,Phase-4_Service,Labor Pricing (Parts),high
Screenshot 2026-04-21 at 3.17.43 PM.png,Phase-4_Service,Labor Pricing (Changes),high
Screenshot 2026-04-21 at 3.17.47 PM.png,Phase-4_Service,Labor Pricing (Comments),high
Screenshot 2026-04-21 at 3.17.51 PM.png,Phase-4_Service,Labor Pricing (Maintenance),high
Screenshot 2026-04-21 at 3.17.56 PM.png,Phase-4_Service,Work Order Quoting Listing,high
Screenshot 2026-04-21 at 3.18.04 PM.png,Phase-4_Service,Work Order Quoting,high
Screenshot 2026-04-21 at 3.18.12 PM.png,Phase-4_Service,Labor Pricing,high
Screenshot 2026-04-21 at 3.18.18 PM.png,Phase-4_Service,Labor Pricing Detail (Dialog),high
Screenshot 2026-04-21 at 3.18.30 PM.png,Phase-Cross-Cutting,Traffic Management,high
Screenshot 2026-04-21 at 3.18.38 PM.png,Phase-Cross-Cutting,Traffic Management (Dispatch),high
Screenshot 2026-04-21 at 3.18.45 PM.png,Phase-Cross-Cutting,Traffic Management (Shipping),high
Screenshot 2026-04-21 at 3.18.48 PM.png,Phase-Cross-Cutting,Traffic Management (Parts),high
Screenshot 2026-04-21 at 3.18.51 PM.png,Phase-Cross-Cutting,Traffic Management (Attachments),high
Screenshot 2026-04-21 at 3.19.03 PM.png,Phase-5_Deal-Genome,Analysis Reports,high
Screenshot 2026-04-21 at 3.19.10 PM.png,Phase-5_Deal-Genome,Analysis Reports,high
Screenshot 2026-04-21 at 3.19.15 PM.png,Phase-5_Deal-Genome,Analysis Reports,high
Screenshot 2026-04-21 at 3.19.21 PM.png,Phase-5_Deal-Genome,Analysis Reports,high
Screenshot 2026-04-21 at 3.19.26 PM.png,Phase-5_Deal-Genome,Analysis Reports,high
Screenshot 2026-04-21 at 3.19.32 PM.png,Phase-5_Deal-Genome,Analysis Reports,high
Screenshot 2026-04-21 at 3.19.39 PM.png,Phase-5_Deal-Genome,Analysis Reports,high
Screenshot 2026-04-21 at 3.19.53 PM.png,Phase-3_Parts,Parts Profile,high
Screenshot 2026-04-21 at 3.20.02 PM.png,Phase-3_Parts,Parts Profile,high
Screenshot 2026-04-21 at 3.20.16 PM.png,Phase-3_Parts,Parts Invoicing,high
Screenshot 2026-04-21 at 3.20.24 PM.png,Phase-3_Parts,Parts Invoicing,high
Screenshot 2026-04-21 at 3.20.33 PM.png,Phase-3_Parts,Parts Ordering,high
Screenshot 2026-04-21 at 3.20.37 PM.png,Phase-3_Parts,Parts Ordering (Vendors),high
Screenshot 2026-04-21 at 3.20.41 PM.png,Phase-3_Parts,Parts Ordering (Price Breaks),high
Screenshot 2026-04-21 at 3.21.06 PM.png,Phase-1_CRM,Customer Profile,high
Screenshot 2026-04-21 at 3.21.14 PM.png,Phase-1_CRM,Customer Profile (Contacts),high
Screenshot 2026-04-21 at 3.21.22 PM.png,Phase-3_Parts,Parts Ordering (Purchase Details),high
Screenshot 2026-04-21 at 3.21.54 PM.png,Phase-3_Parts,Parts Ordering,high
Screenshot 2026-04-21 at 3.22.05 PM.png,Phase-3_Parts,Parts Ordering (Vendor Detail),high
Screenshot 2026-04-21 at 3.22.54 PM.png,Phase-3_Parts,Parts Quoting,high
Screenshot 2026-04-21 at 3.23.01 PM.png,Phase-3_Parts,Parts Quoting,high
Screenshot 2026-04-21 at 3.23.17 PM.png,Phase-3_Parts,Parts Invoicing,high
Screenshot 2026-04-21 at 3.23.24 PM.png,Phase-3_Parts,Price Matrix,high
Screenshot 2026-04-21 at 3.23.29 PM.png,Phase-3_Parts,Price Matrix (Pricing Detail),high
Screenshot 2026-04-21 at 3.23.34 PM.png,Phase-8_Financial-Operations,Customer Pricing,high
Screenshot 2026-04-21 at 3.23.50 PM.png,Phase-8_Financial-Operations,Customer Pricing Detail,high
Screenshot 2026-04-21 at 3.23.57 PM.png,Phase-8_Financial-Operations,Customer Pricing Dialog,high
Screenshot 2026-04-21 at 3.24.28 PM.png,Phase-3_Parts,Price Matrix,high
Screenshot 2026-04-21 at 3.24.33 PM.png,Phase-3_Parts,Price Matrix (Price Breaks),high
Screenshot 2026-04-21 at 3.24.45 PM.png,Phase-1_CRM,Customer Profile,high
Screenshot 2026-04-21 at 3.25.02 PM.png,Phase-1_CRM,Customer Profile (Details),high
Screenshot 2026-04-21 at 3.25.09 PM.png,Phase-1_CRM,Customer Profile (Contacts),high
Screenshot 2026-04-21 at 3.25.12 PM.png,Phase-1_CRM,Customer Profile (Notes),high
Screenshot 2026-04-21 at 3.25.16 PM.png,Phase-1_CRM,Customer Profile (Supplement Shipping),high
Screenshot 2026-04-21 at 3.25.42 PM.png,Phase-5_Deal-Genome,Profitability Analysis,high
Screenshot 2026-04-21 at 3.26.00 PM.png,Phase-8_Financial-Operations,Accounts Receivable,high
Screenshot 2026-04-21 at 3.26.05 PM.png,Phase-8_Financial-Operations,Accounts Receivable,high
Screenshot 2026-04-21 at 3.26.11 PM.png,Phase-8_Financial-Operations,Accounts Receivable (Outstanding Details),high
Screenshot 2026-04-21 at 3.26.20 PM.png,Phase-5_Deal-Genome,Credit Limit Analysis,high
Screenshot 2026-04-21 at 3.26.26 PM.png,Phase-8_Financial-Operations,Accounts Payable,high
Screenshot 2026-04-21 at 3.26.32 PM.png,Phase-8_Financial-Operations,Accounts Payable,high
Screenshot 2026-04-21 at 3.26.38 PM.png,Phase-8_Financial-Operations,Invoice History,high
Screenshot 2026-04-21 at 3.26.42 PM.png,Phase-8_Financial-Operations,Invoice History Detail,high
Screenshot 2026-04-21 at 3.26.50 PM.png,Phase-4_Service,Open Work Orders,high
Screenshot 2026-04-21 at 3.27.01 PM.png,Phase-4_Service,Open Work Orders Detail,high
Screenshot 2026-04-21 at 3.27.11 PM.png,Phase-4_Service,Work In Process,high
Screenshot 2026-04-21 at 3.27.23 PM.png,Phase-4_Service,Service Agreements,high
Screenshot 2026-04-21 at 3.28.13 PM.png,Phase-4_Service,ID InspectionPlus (Inspections),high
Screenshot 2026-04-21 at 3.28.18 PM.png,Phase-4_Service,ID InspectionPlus (Inspection Detail),high
Screenshot 2026-04-21 at 3.28.28 PM.png,Phase-4_Service,ID InspectionPlus (Rental Return Inspection),high
Screenshot 2026-04-21 at 3.28.32 PM.png,Phase-4_Service,ID InspectionPlus (Form Details),high
